iter	Logloss
0	0.5440445541
1	0.4634930291
2	0.4164298353
3	0.3871731419
4	0.366029451
5	0.3500027807
6	0.3391322822
7	0.3310729378
8	0.3253596668
9	0.3217851674
10	0.3184071458
11	0.3148176032
12	0.3126351339
13	0.3104426994
14	0.3089521695
15	0.307003785
16	0.3054255389
17	0.3039254426
18	0.3029417563
19	0.3013955023
20	0.3003877132
21	0.2996465783
22	0.2993113272
23	0.298224805
24	0.2974147596
25	0.2966844946
26	0.2964312259
27	0.2961112233
28	0.2955855029
29	0.2950327364
30	0.2948214578
31	0.2944368729
32	0.2932654872
33	0.2912991696
34	0.2905492631
35	0.2901906136
36	0.2891485694
37	0.2886615674
38	0.2882932594
39	0.2879769017
40	0.2879746334
41	0.2873951518
42	0.2868321393
43	0.2864765252
44	0.2864046785
45	0.2861827991
46	0.2860834666
47	0.2859145329
48	0.2851825434
49	0.2850858735
50	0.284767676
51	0.284762723
52	0.2847219926
53	0.2830538035
54	0.2824736316
55	0.2823570314
56	0.2812826539
57	0.2812600862
58	0.2812600352
59	0.2811160854
60	0.2811160421
61	0.2810997139
62	0.2810958157
63	0.2810937043
64	0.2806990125
65	0.2806970229
66	0.2804228595
67	0.2804209737
68	0.2799831239
69	0.2799747759
70	0.2799697687
71	0.2798706281
72	0.2797579414
73	0.2796218292
74	0.2791970077
75	0.2791955186
76	0.278690895
77	0.2785282662
78	0.2784559859
79	0.2779301981
80	0.2779131025
81	0.2778046652
82	0.2773591142
83	0.277355297
84	0.2772611662
85	0.2772598215
86	0.2769508852
87	0.2768913941
88	0.2767572184
89	0.2762153723
90	0.2762139202
91	0.2761903334
92	0.2761878504
93	0.2761536353
94	0.275707598
95	0.2757062275
96	0.2755638326
97	0.275562555
98	0.2753488325
99	0.2749271721
