iter	Passed	Remaining
0	207	20498
1	259	12694
2	319	10330
3	374	8981
4	438	8323
5	502	7867
6	562	7470
7	613	7053
8	667	6751
9	731	6583
10	790	6397
11	846	6208
12	898	6012
13	1033	6348
14	1084	6146
15	1142	5997
16	1200	5860
17	1267	5774
18	1331	5677
19	1385	5540
20	1437	5406
21	1490	5283
22	1541	5160
23	1592	5043
24	1644	4932
25	1699	4836
26	1751	4736
27	1805	4643
28	1854	4540
29	1907	4450
30	1958	4358
31	2007	4265
32	2061	4184
33	2112	4100
34	2164	4019
35	2212	3933
36	2262	3851
37	2312	3773
38	2363	3697
39	2411	3617
40	2463	3545
41	2511	3468
42	2565	3400
43	2615	3328
44	2665	3257
45	2714	3186
46	2762	3115
47	2817	3052
48	2868	2986
49	2917	2917
50	2968	2852
51	3015	2783
52	3067	2720
53	3115	2654
54	3165	2589
55	3216	2526
56	3266	2464
57	3318	2403
58	3371	2342
59	3422	2281
60	3471	2219
61	3519	2157
62	3567	2095
63	3615	2033
64	3668	1975
65	3721	1917
66	3778	1860
67	3835	1805
68	3885	1745
69	3937	1687
70	3986	1628
71	4037	1570
72	4097	1515
73	4148	1457
74	4214	1404
75	4275	1350
76	4330	1293
77	4386	1237
78	4443	1181
79	4498	1124
80	4550	1067
81	4636	1017
82	4691	960
83	4741	903
84	4798	846
85	4848	789
86	4898	731
87	4948	674
88	5002	618
89	5050	561
90	5099	504
91	5147	447
92	5199	391
93	5251	335
94	5303	279
95	5355	223
96	5406	167
97	5459	111
98	5511	55
99	5597	0
