customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,Contract_One year,Contract_Two year,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_13-24 months,TenureGroup_25-36 months,TenureGroup_37-48 months,TenureGroup_49-60 months,TenureGroup_61-72 months
7590-VHVEG,1,0,1,0,1,0,No phone service,No,Yes,No,No,No,No,1,29.85,29.85,0,29.85,0,0,0,0,0,1,0,0,0,0,0,0
5575-GNVDE,0,0,0,0,34,1,No,Yes,No,Yes,No,No,No,0,56.95,1889.5,0,55.5735294117647,1,0,0,0,0,0,1,0,1,0,0,0
3668-QPYBK,0,0,0,0,2,1,No,Yes,Yes,No,No,No,No,1,53.85,108.15,1,54.075,0,0,0,0,0,0,1,0,0,0,0,0
7795-CFOCW,0,0,0,0,45,0,No phone service,Yes,No,Yes,Yes,No,No,0,42.3,1840.75,0,40.90555555555556,1,0,0,0,0,0,0,0,0,1,0,0
9237-HQITU,1,0,0,0,2,1,No,No,No,No,No,No,No,1,70.7,151.65,1,75.825,0,0,1,0,0,1,0,0,0,0,0,0
9305-CDSKC,1,0,0,0,8,1,Yes,No,No,Yes,No,Yes,Yes,1,99.65,820.5,1,102.5625,0,0,1,0,0,1,0,0,0,0,0,0
1452-KIOVK,0,0,0,1,22,1,Yes,No,Yes,No,No,Yes,No,1,89.1,1949.4,0,88.60909090909091,0,0,1,0,1,0,0,1,0,0,0,0
6713-OKOMC,1,0,0,0,10,0,No phone service,Yes,No,No,No,No,No,0,29.75,301.9,0,30.189999999999998,0,0,0,0,0,0,1,0,0,0,0,0
7892-POOKP,1,0,1,0,28,1,Yes,No,No,Yes,Yes,Yes,Yes,1,104.8,3046.05,1,108.78750000000001,0,0,1,0,0,1,0,0,1,0,0,0
6388-TABGU,0,0,0,1,62,1,No,Yes,Yes,No,No,No,No,0,56.15,3487.95,0,56.25725806451613,1,0,0,0,0,0,0,0,0,0,0,1
9763-GRSKD,0,0,1,1,13,1,No,Yes,No,No,No,No,No,1,49.95,587.45,0,45.18846153846154,0,0,0,0,0,0,1,1,0,0,0,0
